row,expected_prev_orders,sql_prev_orders,expected_prev_avg,sql_prev_avg,match
7331,13,13.0,25.307692307692307,25.307692307692307,True
32501,28,28.0,24.285714285714285,24.285714285714285,True
18233,14,14.0,26.928571428571427,26.928571428571427,True
3892,30,30.0,24.0,24.0,True
16498,35,35.0,26.257142857142856,26.257142857142856,True
34765,31,31.0,27.322580645161292,27.322580645161292,True
30581,22,22.0,25.40909090909091,25.40909090909091,True
35049,15,15.0,28.2,28.2,True
33706,51,51.0,24.137254901960784,24.137254901960784,True
36802,2,2.0,19.0,19.0,True
14599,24,24.0,27.458333333333332,27.458333333333332,True
26763,26,26.0,24.03846153846154,24.03846153846154,True
16799,2,2.0,20.5,20.5,True
16659,10,10.0,23.6,23.6,True
28571,32,32.0,27.90625,27.90625,True
17582,8,8.0,24.25,24.25,True
12784,5,5.0,25.0,25.0,True
10293,12,12.0,27.333333333333332,27.333333333333332,True
40944,6,6.0,23.333333333333332,23.333333333333332,True
38885,31,31.0,26.129032258064516,26.129032258064516,True
5892,15,15.0,23.733333333333334,23.733333333333334,True
985,9,9.0,19.11111111111111,19.11111111111111,True
30349,6,6.0,21.0,21.0,True
37280,5,5.0,26.0,26.0,True
32615,9,9.0,22.88888888888889,22.88888888888889,True
7769,57,57.0,24.45614035087719,24.45614035087719,True
35897,19,19.0,25.157894736842106,25.157894736842106,True
22519,42,42.0,26.333333333333332,26.333333333333332,True
42648,16,16.0,25.875,25.875,True
8270,19,19.0,22.31578947368421,22.31578947368421,True
3606,7,7.0,30.857142857142858,30.857142857142858,True
38898,50,50.0,27.98,27.98,True
29586,53,53.0,28.0,28.0,True
14051,41,41.0,26.634146341463413,26.634146341463413,True
30178,26,26.0,23.692307692307693,23.692307692307693,True
31137,54,54.0,25.333333333333332,25.333333333333332,True
44191,45,45.0,24.8,24.8,True
25398,12,12.0,26.583333333333332,26.583333333333332,True
24840,4,4.0,28.5,28.5,True
44001,20,20.0,26.5,26.5,True
30193,19,19.0,29.42105263157895,29.42105263157895,True
22494,32,32.0,26.1875,26.1875,True
14776,42,42.0,24.714285714285715,24.714285714285715,True
38989,3,3.0,30.333333333333332,30.333333333333332,True
4113,3,3.0,19.0,19.0,True
23732,58,58.0,25.655172413793103,25.655172413793103,True
21577,57,57.0,26.403508771929825,26.403508771929825,True
36997,10,10.0,23.2,23.2,True
35829,0,0.0,,,True
21160,6,6.0,29.166666666666668,29.166666666666668,True
15800,26,26.0,25.076923076923077,25.076923076923077,True
30083,13,13.0,25.384615384615383,25.384615384615383,True
33529,2,2.0,27.5,27.5,True
29715,5,5.0,24.6,24.6,True
20740,13,13.0,23.23076923076923,23.23076923076923,True
37776,41,41.0,27.78048780487805,27.78048780487805,True
6342,6,6.0,24.333333333333332,24.333333333333332,True
10628,44,44.0,28.363636363636363,28.363636363636363,True
38877,45,45.0,24.866666666666667,24.866666666666667,True
12543,6,6.0,24.666666666666668,24.666666666666668,True
23846,5,5.0,25.8,25.8,True
18631,33,33.0,25.333333333333332,25.333333333333332,True
43874,13,13.0,31.076923076923077,31.076923076923077,True
26918,13,13.0,30.692307692307693,30.692307692307693,True
15021,6,6.0,23.5,23.5,True
4824,55,55.0,25.145454545454545,25.145454545454545,True
20412,19,19.0,23.526315789473685,23.526315789473685,True
37762,7,7.0,28.857142857142858,28.857142857142858,True
12386,16,16.0,19.375,19.375,True
45079,55,55.0,27.21818181818182,27.21818181818182,True
12094,13,13.0,25.76923076923077,25.76923076923077,True
44089,43,43.0,24.813953488372093,24.813953488372093,True
17325,8,8.0,27.25,27.25,True
21296,1,1.0,28.0,28.0,True
42656,59,59.0,25.28813559322034,25.28813559322034,True
40238,34,34.0,26.176470588235293,26.176470588235293,True
43645,27,27.0,25.962962962962962,25.962962962962962,True
16454,4,4.0,31.0,31.0,True
10297,49,49.0,25.714285714285715,25.714285714285715,True
38193,28,28.0,25.107142857142858,25.107142857142858,True
18596,46,46.0,27.52173913043478,27.52173913043478,True
34839,0,0.0,,,True
34361,4,4.0,28.75,28.75,True
45268,21,21.0,26.285714285714285,26.285714285714285,True
20363,52,52.0,28.076923076923077,28.076923076923077,True
29643,43,43.0,28.53488372093023,28.53488372093023,True
18932,46,46.0,25.804347826086957,25.804347826086957,True
32010,10,10.0,25.6,25.6,True
